Aikaväli;Keskiteho;Lämpötila
1.1. 00:00:00;1,99;-8
1.1. 01:00:00;2,05;
1.1. 02:00:00;1,82;
1.1. 03:00:00;1,98;
1.1. 04:00:00;1,76;
1.1. 05:00:00;1,94;
1.1. 06:00:00;1,84;
1.1. 07:00:00;2,11;
1.1. 08:00:00;2,09;
1.1. 09:00:00;2,20;
1.1. 10:00:00;2,36;
1.1. 11:00:00;2,26;
1.1. 12:00:00;3,91;
1.1. 13:00:00;3,08;
1.1. 14:00:00;2,51;
1.1. 15:00:00;2,91;
1.1. 16:00:00;2,92;
1.1. 17:00:00;5,75;
1.1. 18:00:00;8,21;
1.1. 19:00:00;7,78;
1.1. 20:00:00;5,94;
1.1. 21:00:00;3,97;
1.1. 22:00:00;3,53;
1.1. 23:00:00;3,03;
2.1. 00:00:00;4,10;-7,1
2.1. 01:00:00;3,84;
2.1. 02:00:00;3,09;
2.1. 03:00:00;3,40;
2.1. 04:00:00;3,81;
2.1. 05:00:00;3,60;
2.1. 06:00:00;2,88;
2.1. 07:00:00;2,74;
2.1. 08:00:00;2,83;
2.1. 09:00:00;2,95;
2.1. 10:00:00;2,96;
2.1. 11:00:00;2,69;
2.1. 12:00:00;3,43;
2.1. 13:00:00;3,98;
2.1. 14:00:00;5,16;
2.1. 15:00:00;3,05;
2.1. 16:00:00;2,75;
2.1. 17:00:00;3,18;
2.1. 18:00:00;2,84;
2.1. 19:00:00;3,51;
2.1. 20:00:00;3,09;
2.1. 21:00:00;2,68;
2.1. 22:00:00;2,64;
2.1. 23:00:00;2,75;
Yhteensä;12 488,76 ;
